"구  분","부문명","시도별","항목","단위","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월",
"총계","총계","전국","사용검사실적","","24942","28316","27358","40864","40530","38694","42111","40726","35744","40373","39812","31869","34053","28732","28340","28667","27763","42000","46872","37974","38238","43344","36985","67185","38607","32366","29418","49957","36785","55540","39766","44141","38916","41273","43360","64646","31992","40815","33470","49554","36827","51258","58718","51587","57662","50264","54134","52928","60290","52300","42163","42343","47513","53741","49107","53737","54420","50892","52915","67468","47799","54634","37233","36029","43985","51730","40446","36052","43766","32209","35503","58698","31544","40386","31348","47827","37879","46160","57663","33804","36999","26467","39624","41378","33512","32905","27992","24583","25095","33819","37569","28070","30576","49108","32807","75358","21308","24678","32538","31010","42744","30999","30877","44515","28746","44942","28699","52742","16141","34345","30731","41866","30062","36080","29393","20441","12358","19543","12015",
"총계","총계","서울","사용검사실적","","5813","4713","6793","8686","9440","4226","5795","7826","3631","8760","4410","4725","5431","3909","3304","7634","4186","5001","5487","6968","6677","5512","4772","5881","8247","5646","5447","7047","7329","6417","7396","8523","6195","3828","6166","14696","5869","5178","6034","6834","4923","5652","6618","7913","6764","3299","5732","5968","4366","4079","4060","4398","6317","6430","5969","4731","5337","8866","6591","16410","4926","12947","2898","4160","4259","6952","5146","4477","10999","3701","5929","8979","5843","10637","6778","7128","5634","6292","6980","6216","10000","2328","4868","8702","5276","10656","5724","3423","4396","5112","7040","5848","4445","3208","6128","10173","6021","3986","6718","5457","3034","3061","2327","8067","1943","4541","4120","6954","2841","2342","2662","4133","1129","3108","3040","1875","1621","1415","1035",
"총계","총계","인천","사용검사실적","","1544","1076","629","562","959","4591","2363","412","1740","1587","2557","-2542","889","749","956","831","998","5260","2423","811","585","502","1047","1619","712","567","556","581","878","5353","1329","740","674","1180","764","1933","794","560","734","803","837","1404","1590","1618","2925","1166","2815","4440","5249","1495","2014","1406","487","904","584","528","2599","2792","2103","559","1316","1520","1773","721","1664","420","731","1081","756","1325","536","1836","339","397","856","476","646","578","1431","282","576","1095","3736","1017","1956","388","1118","1356","1220","3484","1912","1134","3638","3338","544","5806","3872","3136","238","3059","8833","886","3721","5392","1141","2975","2978","3256","676","5859","1427","4098","552","8016","1427","1720","494","2382","1021",
"총계","총계","경기","사용검사실적","","5245","5367","3965","9393","9617","10895","8753","4927","9790","7349","12514","8140","5795","9412","4864","7348","6822","11419","15585","12487","10781","9904","7726","20144","8667","10210","6685","16111","13093","17765","13001","13207","10494","14081","14739","18243","9776","11004","7443","10589","15925","17491","18496","20181","21413","23391","17538","17805","21583","19620","10706","14569","19036","21831","18985","21282","24478","15778","21619","20764","16706","13471","16475","13213","19111","26884","15071","13265","10679","6800","10472","13747","10639","13185","9053","14650","10799","18072","25661","11908","7368","10882","11627","13461","15597","9522","6925","9514","8473","10291","16046","12687","7954","19160","8513","25215","3426","8003","9151","9568","8508","9717","14503","13846","9193","18366","9107","19812","3495","12962","12907","17803","13460","9463","8219","5875","3171","11580","5261",
"총계","총계","부산","사용검사실적","","1653","1608","1530","1520","4407","1267","2878","4152","1320","1923","4943","3283","2326","1022","2495","1047","719","4551","1090","1023","994","5146","842","3733","1248","830","789","1034","806","1924","1030","2806","3483","1998","1035","2316","3014","986","2103","2120","3902","2013","3032","2033","3541","1539","1340","1865","2643","5866","2171","2761","2158","2157","2704","1026","1018","5228","1797","1388","1709","2944","2533","2416","3470","2288","3616","2290","2411","2253","2550","1996","3894","2307","3287","1116","535","3462","3249","1277","3325","2312","401","1814","1393","942","2240","3499","891","1975","2053","749","761","704","394","14380","672","749","938","2151","3055","2047","975","2593","6781","1807","1741","3849","1903","1612","1621","686","2206","31","1307","266","170","107","298",
"총계","총계","대구","사용검사실적","","626","734","208","1167","401","776","1805","1789","627","1301","440","2641","2364","774","2160","1456","783","370","980","1764","2015","306","2821","5588","2510","1013","3140","2656","670","7076","2083","2088","812","2941","2190","4008","1325","2410","1453","171","267","1293","5916","931","2963","1907","2038","627","507","1236","712","2518","165","1052","160","2880","1070","961","3238","3994","259","844","127","2348","84","994","488","418","773","1614","973","1728","834","1521","769","3763","495","2209","1168","2018","160","2738","1043","1741","218","340","2046","118","55","908","2078","571","2408","1039","5843","781","399","55","3819","1694","1778","3540","1261","2607","1045","1988","1220","1682","660","1335","3102","5228","2117","347","911","1952","7","7","326",
"총계","총계","광주","사용검사실적","","999","1019","1161","932","3116","1234","2312","474","1347","469","636","727","1687","1180","916","271","104","223","1731","222","910","417","184","739","866","215","1379","3803","1092","508","665","1013","1208","127","429","1977","1732","235","1235","807","528","2260","761","853","2563","393","334","1895","836","1256","318","1214","84","1338","723","1525","2177","622","407","-417","1799","2052","1153","690","1761","2287","161","912","1922","477","787","2262","158","1829","2344","1520","3566","691","837","41","2914","366","584","1834","2162","702","56","559","788","1350","74","772","152","102","1027","1061","82","2955","466","1651","634","125","50","1530","570","4008","233","149","135","878","38","367","389","104","621","39","95","435","231",
"총계","총계","대전","사용검사실적","","237","2955","1073","1017","81","2644","475","1829","301","1871","165","744","612","389","129","80","1326","2015","144","298","244","648","1323","233","350","546","712","378","1161","1621","199","206","1753","203","656","483","708","247","333","2992","316","719","991","129","378","858","1262","430","131","568","207","1196","168","877","2297","1303","1592","436","149","249","192","317","60","131","79","1123","636","1235","556","1309","227","944","159","254","271","2709","240","71","121","1193","1623","410","2376","235","149","61","96","262","69","57","99","114","404","3642","2823","336","106","1176","1363","43","2797","114","188","2786","313","843","1848","156","119","128","541","1830","579","183","90","62","41","65","194",
"총계","총계","울산","사용검사실적","","422","1638","1428","650","2277","871","1301","242","1550","911","832","-28","272","1973","1366","1538","1904","194","222","896","1302","166","714","2147","187","188","205","2208","287","901","232","307","567","523","223","1140","422","1149","998","987","455","805","177","1214","3025","145","1996","163","1573","903","1140","414","97","2595","220","102","170","1397","441","1973","2565","2757","78","1245","1874","715","497","133","1332","375","533","947","858","841","98","58","46","109","63","20","84","66","1038","191","438","35","55","65","688","57","48","52","73","924","67","339","129","381","296","1158","187","116","66","1179","59","715","43","432","23","44","54","418","2751","799","419","59","2642","7","34",
"총계","총계","세종","사용검사실적","","126","107","110","1709","951","48","1691","4378","1518","2714","2856","2368","2396","1364","560","1429","735","2285","2558","1458","587","1842","284","3091","804","848","305","9","1410","32","1238","982","1927","50","493","706","35","2347","605","7514","42","77","3231","33","73","1330","745","1342","2539","1448","3464","1434","726","1547","80","1939","93","25","2040","422","453","1460","211","1019","2068","1218","1101","1434","1761","16","27","465","13","573","23","44","12","77","49","44","1555","694","65","1523","365","563","26","32","26","867","24","1061","1374","3608","37","1147","39","102","541","619","619","23","42","27","145","24","496","1617","22","54","17","23","19","17","27","13","27","1037","9",
