년도,지역,인구,인구밀도
2010,서울,10089,16667
2010,부산,3477,4531
2010,대구,2480,2805
2010,인천,2723,2645
2010,광주,1494,2980
2010,대전,1515,2806
2010,울산,1099,1038
2010,세종,0,0
2010,경기,11619,1143
2010,강원,1489,89
2010,충북,1524,205
2010,충남,2078,241
2010,전북,1796,223
2010,전남,1777,145
2010,경북,2630,138
2010,경남,3217,305
2010,제주,548,296
2010,수도권,24431,2070
2011,서울,10072,16643
2011,부산,3476,4524
2011,대구,2483,2810
2011,인천,2755,2668
2011,광주,1502,2997
2011,대전,1528,2830
2011,울산,1112,1049
2011,세종,0,0
2011,경기,11825,1163
2011,강원,1498,89
2011,충북,1545,208
2011,충남,2108,244
2011,전북,1809,224
2011,전남,1779,145
2011,경북,2645,139
2011,경남,3245,308
2011,제주,554,300
2011,수도권,24652,2088
2012,서울,10036,16583
2012,부산,3462,4498
2012,대구,2480,2807
2012,인천,2794,2684
2012,광주,1504,3000
2012,대전,1540,2852
2012,울산,1125,1061
2012,세종,102,220
2012,경기,11974,1177
2012,강원,1504,90
2012,충북,1553,210
2012,충남,2043,249
2012,전북,1817,225
2012,전남,1782,145
2012,경북,2656,140
2012,경남,3265,310
2012,제주,561,303
2012,수도권,24805,2099
2013,서울,9990,16507
2013,부산,3456,4489
2013,대구,2476,2802
2013,인천,2830,2718
2013,광주,1504,3000
2013,대전,1545,2860
2013,울산,1137,1073
2013,세종,118,255
2013,경기,12126,1192
2013,강원,1506,89
2013,충북,1565,211
2013,충남,2062,251
2013,전북,1821,226
2013,전남,1784,145
2013,경북,2661,140
2013,경남,3278,311
2013,제주,570,308
2013,수도권,24946,2111
2014,서울,9975,16482
2014,부산,3452,4485
2014,대구,2475,2801
2014,인천,2862,2732
2014,광주,1505,3002
2014,대전,1553,2879
2014,울산,1151,1085
2014,세종,132,285
2014,경기,12282,1207
2014,강원,1510,90
2014,충북,1578,213
2014,충남,2088,254
2014,전북,1829,227
2014,전남,1792,146
2014,경북,2671,140
2014,경남,3307,314
2014,제주,583,315
2014,수도권,25119,2124
2015,서울,9941,16425
2015,부산,3452,4484
2015,대구,2469,2794
2015,인천,2883,2748
2015,광주,1506,3005
2015,대전,1542,2860
2015,울산,1164,1097
2015,세종,187,403
2015,경기,12423,1221
2015,강원,1517,90
2015,충북,1589,215
2015,충남,2103,256
2015,전북,1835,227
2015,전남,1797,146
2015,경북,2678,141
2015,경남,3330,316
2015,제주,599,324
2015,수도권,25247,2134
2016,서울,9843,16263
2016,부산,3447,4477
2016,대구,2461,2786
2016,인천,2907,2736
2016,광주,1502,2997
2016,대전,1536,2848
2016,울산,1166,1099
2016,세종,234,504
2016,경기,12600,1237
2016,강원,1521,90
2016,충북,1601,216
2016,충남,2126,258
2016,전북,1835,227
2016,전남,1798,146
2016,경북,2683,141
2016,경남,3338,317
2016,제주,618,334
2016,수도권,25350,2139
2017,서울,9766,16136
2017,부산,3424,4447
2017,대구,2458,2782
2017,인천,2924,2750
2017,광주,1495,2984
2017,대전,1528,2832
2017,울산,1159,1092
2017,세종,266,571
2017,경기,12786,1255
2017,강원,1521,90
2017,충북,1609,217
2017,충남,2153,262
2017,전북,1829,227
2017,전남,1795,146
2017,경북,2675,141
2017,경남,3339,317
2017,제주,635,343
2017,수도권,25476,2149
2018,서울,9697,16023
2018,부산,3403,4420
2018,대구,2449,2772
2018,인천,2936,2761
2018,광주,1488,2970
2018,대전,1513,2805
2018,울산,1153,1086
2018,세종,302,650
2018,경기,13027,1279
2018,강원,1521,90
2018,충북,1618,218
2018,충남,2177,265
2018,전북,1823,226
2018,전남,1796,146
2018,경북,2675,141
2018,경남,3351,318
2018,제주,655,354
2018,수도권,25660,2164
2019,서울,9657,15956
2019,부산,3381,4391
2019,대구,2437,2758
2019,인천,2952,2777
2019,광주,1489,2972
2019,대전,1503,2786
2019,울산,1146,1079
2019,세종,329,709
2019,경기,13241,1299
2019,강원,1520,90
2019,충북,1629,220
2019,충남,2189,265
2019,전북,1812,225
2019,전남,1793,145
2019,경북,2671,140
2019,경남,3350,318
2019,제주,664,359
2019,수도권,25851,2179
2020,서울,9618,15891
2020,부산,3356,4358
2020,대구,2414,2733
2020,인천,2951,2770
2020,광주,1480,2952
2020,대전,1492,2764
2020,울산,1139,1072
2020,세종,348,749
2020,경기,13452,1319
2020,강원,1519,90
2020,충북,1631,220
2020,충남,2177,264
2020,전북,1806,224
2020,전남,1793,145
2020,경북,2652,139
2020,경남,3340,317
2020,제주,669,361
2020,수도권,26021,2193
2021,서울,9502,15699
2021,부산,3327,4320
2021,대구,2388,2702
2021,인천,2941,2758
2021,광주,1469,2931
2021,대전,1479,2741
2021,울산,1124,1058
2021,세종,366,788
2021,경기,13612,1335
2021,강원,1520,90
2021,충북,1632,220
2021,충남,2177,264
2021,전북,1794,222
2021,전남,1783,144
2021,경북,2641,139
2021,경남,3318,315
2021,제주,673,364
2021,수도권,26054,2195
2022,서울,9411,15551
2022,부산,3299,4278
2022,대구,2363,2670
2022,인천,2961,2775
2022,광주,1463,2921
2022,대전,1472,2727
2022,울산,1113,1047
2022,세종,383,823
2022,경기,13681,1341
2022,강원,1526,91
2022,충북,1634,221
2022,충남,2180,264
2022,전북,1780,221
2022,전남,1769,143
2022,경북,2628,138
2022,경남,3289,312
2022,제주,676,365
2022,수도권,26053,2195
