시점,구분,부문별미분양현황,시도별미분양현황,규모별미분양현황
2010.0,계,"88,706",-,"88,706"
2010.0,민간부문,"88,706",-,-
2010.0,(준공후),"42,655",-,-
2010.0,전국,-,"88,706",-
2010.0,서울특별시,-,"2,729",-
2010.0,부산광역시,-,"3,458",-
2010.0,대구광역시,-,"13,163",-
2010.0,인천광역시,-,"4,265",-
2010.0,광주광역시,-,"1,809",-
2010.0,대전광역시,-,"2,205",-
2010.0,울산광역시,-,"5,575",-
2010.0,경기도,-,"22,418",-
2010.0,강원도,-,"3,837",-
2010.0,충청북도,-,"3,428",-
2010.0,충청남도,-,"9,020",-
2010.0,전라북도,-,"1,311",-
2010.0,전라남도,-,"2,504",-
2010.0,경상북도,-,"8,042",-
2010.0,경상남도,-,"4,780",-
2010.0,제주도,-,162,-
2010.0,수도권,-,"29,412",-
2010.0,60㎡이하,-,-,"4,703"
2010.0,지방,-,"59,294",-
2010.0,60-85㎡,-,-,"29,913"
2010.0,85㎡초과,-,-,"54,090"
2011.0,계,"69,807",-,"69,807"
2011.0,민간부문,"69,807",-,-
2011.0,(준공후),"30,881",-,-
2011.0,전국,-,"69,807",-
2011.0,서울특별시,-,"1,861",-
2011.0,부산광역시,-,"4,193",-
2011.0,대구광역시,-,"8,672",-
2011.0,인천광역시,-,"3,642",-
2011.0,광주광역시,-,784,-
2011.0,대전광역시,-,"1,557",-
2011.0,울산광역시,-,"3,510",-
2011.0,경기도,-,"22,378",-
2011.0,강원도,-,"2,244",-
2011.0,충청북도,-,"1,031",-
2011.0,충청남도,-,"7,471",-
2011.0,전라북도,-,355,-
2011.0,전라남도,-,"1,527",-
2011.0,경상북도,-,"4,110",-
2011.0,경상남도,-,"6,375",-
2011.0,제주도,-,97,-
2011.0,수도권,-,"27,881",-
2011.0,60㎡이하,-,-,"4,998"
2011.0,지방,-,"41,926",-
2011.0,60-85㎡,-,-,"24,523"
2011.0,85㎡초과,-,-,"40,286"
2012.0,계,"74,835",-,"74,835"
2012.0,민간부문,"74,835",-,-
2012.0,공공부문,0,-,-
2012.0,(준공후),"28,778",-,-
2012.0,전국,-,"74,835",-
2012.0,서울특별시,-,"3,481",-
2012.0,부산광역시,-,"5,784",-
2012.0,대구광역시,-,"3,288",-
2012.0,인천광역시,-,"4,026",-
2012.0,광주광역시,-,"3,348",-
2012.0,대전광역시,-,"1,441",-
2012.0,울산광역시,-,"3,659",-
2012.0,경기도,-,"25,040",-
2012.0,세종특별자치시,-,0,-
2012.0,강원도,-,"4,421",-
2012.0,충청북도,-,585,-
2012.0,충청남도,-,"2,942",-
2012.0,전라북도,-,629,-
2012.0,전라남도,-,"2,478",-
2012.0,경상북도,-,"3,201",-
2012.0,경상남도,-,"9,558",-
2012.0,제주도,-,954,-
2012.0,수도권,-,"32,547",-
2012.0,60㎡이하,-,-,"5,509"
2012.0,지방,-,"42,288",-
2012.0,60-85㎡,-,-,"37,013"
2012.0,85㎡초과,-,-,"32,313"
2013.0,계,"61,091",-,"61,091"
2013.0,민간부문,"61,091",-,-
2013.0,공공부문,0,-,-
2013.0,(준공후),"21,751",-,-
2013.0,전국,-,"61,091",-
2013.0,서울특별시,-,"3,157",-
2013.0,부산광역시,-,"4,259",-
2013.0,대구광역시,-,"1,234",-
2013.0,인천광역시,-,"5,275",-
2013.0,광주광역시,-,323,-
2013.0,대전광역시,-,"1,146",-
2013.0,울산광역시,-,"3,310",-
2013.0,경기도,-,"24,760",-
2013.0,세종특별자치시,-,54,-
2013.0,강원도,-,"3,055",-
2013.0,충청북도,-,599,-
2013.0,충청남도,-,"3,566",-
2013.0,전라북도,-,"1,470",-
2013.0,전라남도,-,"1,981",-
2013.0,경상북도,-,"1,405",-
2013.0,경상남도,-,"4,909",-
2013.0,제주도,-,588,-
2013.0,수도권,-,"33,192",-
2013.0,60㎡이하,-,-,"6,104"
2013.0,지방,-,"27,899",-
2013.0,60-85㎡,-,-,"30,885"
2013.0,85㎡초과,-,-,"24,102"
2014.0,계,"40,379",-,"40,379"
2014.0,민간부문,"40,379",-,-
2014.0,공공부문,0,-,-
2014.0,(준공후),"16,267",-,-
2014.0,전국,-,"40,379",-
2014.0,서울특별시,-,"1,356",-
2014.0,부산광역시,-,"2,060",-
2014.0,대구광역시,-,"1,013",-
2014.0,인천광역시,-,"3,735",-
2014.0,광주광역시,-,247,-
2014.0,대전광역시,-,444,-
2014.0,울산광역시,-,258,-
2014.0,경기도,-,"14,723",-
2014.0,세종특별자치시,-,433,-
2014.0,강원도,-,"3,054",-
2014.0,충청북도,-,931,-
2014.0,충청남도,-,"2,838",-
2014.0,전라북도,-,"1,197",-
2014.0,전라남도,-,"2,981",-
2014.0,경상북도,-,"2,023",-
2014.0,경상남도,-,"2,962",-
2014.0,제주도,-,124,-
2014.0,수도권,-,"19,814",-
2014.0,60㎡이하,-,-,"5,932"
2014.0,지방,-,"20,565",-
2014.0,60-85㎡,-,-,"21,052"
2014.0,85㎡초과,-,-,"13,395"
2015.0,계,"61,512",-,"61,512"
2015.0,민간부문,"61,512",-,-
2015.0,공공부문,0,-,-
2015.0,(준공후),"10,518",-,-
2015.0,전국,-,"61,512",-
2015.0,서울특별시,-,494,-
2015.0,부산광역시,-,"1,290",-
2015.0,대구광역시,-,"2,396",-
