local,year,grade,percent
전체,2019,전체,61
전체,2019,1학년,64.5
전체,2019,2학년,62.3
전체,2019,3학년,56.4
전체,2020,전체,61.6
전체,2020,1학년,64.3
전체,2020,2학년,63.3
전체,2020,3학년,57
전체,2021,전체,64.6
전체,2021,1학년,68
전체,2021,2학년,66.2
전체,2021,3학년,59.8
전체,2022,전체,66
전체,2022,1학년,69.6
전체,2022,2학년,66.8
전체,2022,3학년,61.6
대도시,2019,전체,64.6
대도시,2019,1학년,67.4
대도시,2019,2학년,65.6
대도시,2019,3학년,61.2
대도시,2020,전체,64.9
대도시,2020,1학년,67.8
대도시,2020,2학년,65.1
대도시,2020,3학년,61.8
대도시,2021,전체,68.1
대도시,2021,1학년,70.4
대도시,2021,2학년,69.1
대도시,2021,3학년,65.1
대도시,2022,전체,69.1
대도시,2022,1학년,72.1
대도시,2022,2학년,69.3
대도시,2022,3학년,66.1
서울,2019,전체,68.9
서울,2019,1학년,68.2
서울,2019,2학년,69.5
서울,2019,3학년,69.1
서울,2020,전체,70.1
서울,2020,1학년,71.6
서울,2020,2학년,69.8
서울,2020,3학년,68.9
서울,2021,전체,73.4
서울,2021,1학년,74.5
서울,2021,2학년,73.2
서울,2021,3학년,72.6
서울,2022,전체,75
서울,2022,1학년,77.2
서울,2022,2학년,73.5
서울,2022,3학년,74.1
광역시,2019,전체,61.6
광역시,2019,1학년,66.8
광역시,2019,2학년,62.9
광역시,2019,3학년,55.7
광역시,2020,전체,61.2
광역시,2020,1학년,65
광역시,2020,2학년,61.8
광역시,2020,3학년,56.7
광역시,2021,전체,64.4
광역시,2021,1학년,67.6
광역시,2021,2학년,66.2
광역시,2021,3학년,60
광역시,2022,전체,65
광역시,2022,1학년,68.4
광역시,2022,2학년,66.3
광역시,2022,3학년,60.4
대도시 이외,2019,전체,58.4
대도시 이외,2019,1학년,62.5
대도시 이외,2019,2학년,60.1
대도시 이외,2019,3학년,53.1
대도시 이외,2020,전체,59.3
대도시 이외,2020,1학년,61.9
대도시 이외,2020,2학년,62.1
대도시 이외,2020,3학년,53.7
대도시 이외,2021,전체,62.1
대도시 이외,2021,1학년,66.4
대도시 이외,2021,2학년,64.2
대도시 이외,2021,3학년,56
대도시 이외,2022,전체,63.9
대도시 이외,2022,1학년,67.9
대도시 이외,2022,2학년,65.2
대도시 이외,2022,3학년,58.5
중소도시,2019,전체,62.5
중소도시,2019,1학년,63.9
중소도시,2019,2학년,64.2
중소도시,2019,3학년,59.5
중소도시,2020,전체,63.3
중소도시,2020,1학년,66.1
중소도시,2020,2학년,66
중소도시,2020,3학년,57.7
중소도시,2021,전체,65.8
중소도시,2021,1학년,70.1
중소도시,2021,2학년,68.2
중소도시,2021,3학년,59.4
중소도시,2022,전체,67.5
중소도시,2022,1학년,71.9
중소도시,2022,2학년,68.2
중소도시,2022,3학년,62.5
읍면지역,2019,전체,47.1
읍면지역,2019,1학년,58.4
읍면지역,2019,2학년,48.7
읍면지역,2019,3학년,36.4
읍면지역,2020,전체,47.8
읍면지역,2020,1학년,50.2
읍면지역,2020,2학년,50.8
읍면지역,2020,3학년,42.2
읍면지역,2021,전체,51.5
읍면지역,2021,1학년,55.7
읍면지역,2021,2학년,52.9
읍면지역,2021,3학년,46
읍면지역,2022,전체,53.5
읍면지역,2022,1학년,57.4
읍면지역,2022,2학년,56
읍면지역,2022,3학년,46.8
과목: 일반교과 사교육,2019,전체,49.7
과목: 일반교과 사교육,2019,1학년,55.9
과목: 일반교과 사교육,2019,2학년,50.6
과목: 일반교과 사교육,2019,3학년,43.2
과목: 일반교과 사교육,2020,전체,51.4
과목: 일반교과 사교육,2020,1학년,56.9
과목: 일반교과 사교육,2020,2학년,52.4
과목: 일반교과 사교육,2020,3학년,44.7
과목: 일반교과 사교육,2021,전체,54.5
과목: 일반교과 사교육,2021,1학년,60.7
과목: 일반교과 사교육,2021,2학년,56
과목: 일반교과 사교육,2021,3학년,47.4
과목: 일반교과 사교육,2022,전체,55.4
과목: 일반교과 사교육,2022,1학년,61.2
과목: 일반교과 사교육,2022,2학년,56.5
과목: 일반교과 사교육,2022,3학년,48.6
국어,2019,전체,18.9
국어,2019,1학년,19.8
국어,2019,2학년,17.1
국어,2019,3학년,19.6
국어,2020,전체,20.3
국어,2020,1학년,21.2
국어,2020,2학년,19.8
국어,2020,3학년,19.8
국어,2021,전체,23.9
국어,2021,1학년,24.8
국어,2021,2학년,23.7
국어,2021,3학년,23.3
국어,2022,전체,25.8
국어,2022,1학년,27.8
국어,2022,2학년,25
국어,2022,3학년,24.6
영어,2019,전체,36.3
영어,2019,1학년,45
영어,2019,2학년,36.6
영어,2019,3학년,28.1
영어,2020,전체,38.6
영어,2020,1학년,46.6
영어,2020,2학년,39.6
영어,2020,3학년,29.4
영어,2021,전체,41
영어,2021,1학년,50.8
영어,2021,2학년,42
영어,2021,3학년,30.9
영어,2022,전체,42.1
영어,2022,1학년,51.2
영어,2022,2학년,42.8
영어,2022,3학년,32.4
수학,2019,전체,41.7
수학,2019,1학년,50.1
수학,2019,2학년,42.5
수학,2019,3학년,33.2
수학,2020,전체,44.2
수학,2020,1학년,52
수학,2020,2학년,44.8
수학,2020,3학년,35.5
수학,2021,전체,45.6
수학,2021,1학년,53.9
수학,2021,2학년,47.6
수학,2021,3학년,35.8
수학,2022,전체,46.7
수학,2022,1학년,55.1
수학,2022,2학년,47.8
수학,2022,3학년,37.3
"사회, 과학",2019,전체,9.6
"사회, 과학",2019,1학년,9.5
"사회, 과학",2019,2학년,8.3
"사회, 과학",2019,3학년,10.9
"사회, 과학",2020,전체,10.7
"사회, 과학",2020,1학년,11.2
"사회, 과학",2020,2학년,9.5
"사회, 과학",2020,3학년,11.4
"사회, 과학",2021,전체,13.2
"사회, 과학",2021,1학년,13.3
"사회, 과학",2021,2학년,12.5
"사회, 과학",2021,3학년,13.8
"사회, 과학",2022,전체,14.3
"사회, 과학",2022,1학년,15
"사회, 과학",2022,2학년,13.3
"사회, 과학",2022,3학년,14.4
논술,2019,전체,2.3
논술,2019,1학년,1.1
논술,2019,2학년,0.9
논술,2019,3학년,4.6
논술,2020,전체,1.7
논술,2020,1학년,1.1
논술,2020,2학년,0.6
논술,2020,3학년,3.6
논술,2021,전체,1.7
논술,2021,1학년,1.2
논술,2021,2학년,0.7
논술,2021,3학년,3.3
논술,2022,전체,1.9
논술,2022,1학년,1
논술,2022,2학년,0.8
논술,2022,3학년,3.9
"제2외국어, 한문, 컴퓨터 등",2019,전체,2.2
"제2외국어, 한문, 컴퓨터 등",2019,1학년,2.6
"제2외국어, 한문, 컴퓨터 등",2019,2학년,2.7
"제2외국어, 한문, 컴퓨터 등",2019,3학년,1.4
"제2외국어, 한문, 컴퓨터 등",2020,전체,2
"제2외국어, 한문, 컴퓨터 등",2020,1학년,2.7
"제2외국어, 한문, 컴퓨터 등",2020,2학년,2.1
"제2외국어, 한문, 컴퓨터 등",2020,3학년,1.2
"제2외국어, 한문, 컴퓨터 등",2021,전체,2
"제2외국어, 한문, 컴퓨터 등",2021,1학년,2.4
"제2외국어, 한문, 컴퓨터 등",2021,2학년,2.2
"제2외국어, 한문, 컴퓨터 등",2021,3학년,1.4
"제2외국어, 한문, 컴퓨터 등",2022,전체,1.7
"제2외국어, 한문, 컴퓨터 등",2022,1학년,2
"제2외국어, 한문, 컴퓨터 등",2022,2학년,1.8
"제2외국어, 한문, 컴퓨터 등",2022,3학년,1.4
컴퓨터,2019,전체,0.7
컴퓨터,2019,1학년,1
컴퓨터,2019,2학년,0.9
컴퓨터,2019,3학년,0.3
컴퓨터,2020,전체,0.7
컴퓨터,2020,1학년,0.9
컴퓨터,2020,2학년,0.8
컴퓨터,2020,3학년,0.4
컴퓨터,2021,전체,0.8
컴퓨터,2021,1학년,1
컴퓨터,2021,2학년,0.9
컴퓨터,2021,3학년,0.6
컴퓨터,2022,전체,0.8
컴퓨터,2022,1학년,0.8
컴퓨터,2022,2학년,0.8
컴퓨터,2022,3학년,0.7
"제2외국어, 한문 등",2019,전체,1.5
"제2외국어, 한문 등",2019,1학년,1.6
"제2외국어, 한문 등",2019,2학년,1.8
"제2외국어, 한문 등",2019,3학년,1.1
"제2외국어, 한문 등",2020,전체,1.3
"제2외국어, 한문 등",2020,1학년,1.8
"제2외국어, 한문 등",2020,2학년,1.4
"제2외국어, 한문 등",2020,3학년,0.8
"제2외국어, 한문 등",2021,전체,1.2
"제2외국어, 한문 등",2021,1학년,1.5
"제2외국어, 한문 등",2021,2학년,1.3
"제2외국어, 한문 등",2021,3학년,0.8
"제2외국어, 한문 등",2022,전체,1
"제2외국어, 한문 등",2022,1학년,1.2
"제2외국어, 한문 등",2022,2학년,1.1
"제2외국어, 한문 등",2022,3학년,0.7
"과목: 예체능,취미,교양 사교육",2019,전체,14.8
"과목: 예체능,취미,교양 사교육",2019,1학년,13.5
"과목: 예체능,취미,교양 사교육",2019,2학년,15.6
"과목: 예체능,취미,교양 사교육",2019,3학년,15.3
"과목: 예체능,취미,교양 사교육",2020,전체,13.5
"과목: 예체능,취미,교양 사교육",2020,1학년,11.8
"과목: 예체능,취미,교양 사교육",2020,2학년,14.6
"과목: 예체능,취미,교양 사교육",2020,3학년,14.1
"과목: 예체능,취미,교양 사교육",2021,전체,14.6
"과목: 예체능,취미,교양 사교육",2021,1학년,13.8
"과목: 예체능,취미,교양 사교육",2021,2학년,15.7
"과목: 예체능,취미,교양 사교육",2021,3학년,14.2
"과목: 예체능,취미,교양 사교육",2022,전체,16
"과목: 예체능,취미,교양 사교육",2022,1학년,15.8
"과목: 예체능,취미,교양 사교육",2022,2학년,16.8
"과목: 예체능,취미,교양 사교육",2022,3학년,15.5
음악,2019,전체,3.8
음악,2019,1학년,3.9
음악,2019,2학년,4.5
음악,2019,3학년,3.2
음악,2020,전체,3.2
음악,2020,1학년,3.1
음악,2020,2학년,4
음악,2020,3학년,2.4
음악,2021,전체,3.4
음악,2021,1학년,3.6
음악,2021,2학년,3.6
음악,2021,3학년,2.8
음악,2022,전체,3.9
음악,2022,1학년,4.7
음악,2022,2학년,3.3
음악,2022,3학년,3.8
미술,2019,전체,3.2
미술,2019,1학년,2.3
미술,2019,2학년,3.1
미술,2019,3학년,4.3
미술,2020,전체,3.3
미술,2020,1학년,1.9
미술,2020,2학년,3.7
미술,2020,3학년,4.3
미술,2021,전체,4.2
미술,2021,1학년,3
미술,2021,2학년,5.2
미술,2021,3학년,4.5
미술,2022,전체,4.1
미술,2022,1학년,3.4
미술,2022,2학년,5.1
미술,2022,3학년,3.9
체육,2019,전체,5.5
체육,2019,1학년,5.8
체육,2019,2학년,5.7
체육,2019,3학년,5
체육,2020,전체,5.1
체육,2020,1학년,5.6
체육,2020,2학년,4.8
체육,2020,3학년,4.9
체육,2021,전체,5
체육,2021,1학년,5.8
체육,2021,2학년,4.7
체육,2021,3학년,4.5
체육,2022,전체,5.8
체육,2022,1학년,6.1
체육,2022,2학년,6.3
체육,2022,3학년,5
취미·교양,2019,전체,3
취미·교양,2019,1학년,2.3
취미·교양,2019,2학년,3.1
취미·교양,2019,3학년,3.6
취미·교양,2020,전체,2.5
취미·교양,2020,1학년,1.7
취미·교양,2020,2학년,2.8
취미·교양,2020,3학년,3
취미·교양,2021,전체,2.6
취미·교양,2021,1학년,2.1
취미·교양,2021,2학년,2.8
취미·교양,2021,3학년,2.8
취미·교양,2022,전체,3
취미·교양,2022,1학년,2.4
취미·교양,2022,2학년,2.9
취미·교양,2022,3학년,3.6
과목: 취업관련 사교육,2019,전체,2.4
과목: 취업관련 사교육,2019,1학년,1.9
과목: 취업관련 사교육,2019,2학년,2.6
과목: 취업관련 사교육,2019,3학년,2.8
과목: 취업관련 사교육,2020,전체,2.3
과목: 취업관련 사교육,2020,1학년,1.8
과목: 취업관련 사교육,2020,2학년,2.4
