local,number,year
전국,44503200,1992
전국,45001113,1993
전국,45416339,1994
전국,45858029,1995
전국,46266256,1996
전국,46684069,1997
전국,46991171,1998
전국,47335678,1999
전국,47732558,2000
전국,48021543,2001
전국,48229948,2002
전국,48386823,2003
전국,48583805,2004
전국,48782274,2005
전국,48991779,2006
전국,49268928,2007
전국,49540367,2008
전국,49773145,2009
전국,50515666,2010
전국,50734284,2011
전국,50948272,2012
전국,51141463,2013
전국,51327916,2014
전국,51529338,2015
전국,51696216,2016
전국,51778544,2017
전국,51826059,2018
전국,51849861,2019
전국,51829023,2020
전국,51638809,2021
전국,51439038,2022
전국,51325329,2023
