항목,시점,특성별,데이터
전체 (억원),2013,전체,185960
전체 (억원),2013,대도시,89716
전체 (억원),2013,서울,43629
전체 (억원),2013,광역시,46087
전체 (억원),2013,대도시 이외,96244
전체 (억원),2013,중소도시,79432
전체 (억원),2013,읍면지역,16812
전체 (억원),2013,과목: 일반교과 사교육,148802
전체 (억원),2013,국어,12638
전체 (억원),2013,영어,63318
전체 (억원),2013,수학,57762
전체 (억원),2013,"사회, 과학",7148
전체 (억원),2013,논술,5734
전체 (억원),2013,"제2외국어, 한문, 컴퓨터 등",2203
전체 (억원),2013,"과목: 예체능, 취미·교양 사교육",36741
전체 (억원),2013,음악,14568
전체 (억원),2013,미술,6850
전체 (억원),2013,체육,12089
전체 (억원),2013,취미·교양,3234
전체 (억원),2013,과목: 취업관련 사교육,418
전체 (억원),2013,유형: 일반교과 사교육,148802
전체 (억원),2013,개인과외,25574
전체 (억원),2013,그룹과외,16755
전체 (억원),2013,학원수강,96842
전체 (억원),2013,방문학습지,8008
전체 (억원),2013,유료인터넷 및 통신강좌 등,1623
전체 (억원),2013,"유형: 예체능, 취미·교양 사교육",36741
전체 (억원),2013,개인과외,6422
전체 (억원),2013,그룹과외,2551
전체 (억원),2013,학원수강,27316
전체 (억원),2013,방문수업 및 기타,451
전체 (억원),2014,전체,182297
전체 (억원),2014,대도시,86488
전체 (억원),2014,서울,42771
전체 (억원),2014,광역시,43717
전체 (억원),2014,대도시 이외,95809
전체 (억원),2014,중소도시,77823
전체 (억원),2014,읍면지역,17986
전체 (억원),2014,과목: 일반교과 사교육,143831
전체 (억원),2014,국어,11317
전체 (억원),2014,영어,61497
전체 (억원),2014,수학,57683
전체 (억원),2014,"사회, 과학",6799
전체 (억원),2014,논술,4785
전체 (억원),2014,"제2외국어, 한문, 컴퓨터 등",1750
전체 (억원),2014,"과목: 예체능, 취미·교양 사교육",37949
전체 (억원),2014,음악,14671
전체 (억원),2014,미술,6604
전체 (억원),2014,체육,13534
전체 (억원),2014,취미·교양,3141
전체 (억원),2014,과목: 취업관련 사교육,516
전체 (억원),2014,유형: 일반교과 사교육,143831
전체 (억원),2014,개인과외,24503
전체 (억원),2014,그룹과외,16330
전체 (억원),2014,학원수강,93520
전체 (억원),2014,방문학습지,7974
전체 (억원),2014,유료인터넷 및 통신강좌 등,1503
전체 (억원),2014,"유형: 예체능, 취미·교양 사교육",37949
전체 (억원),2014,개인과외,6981
전체 (억원),2014,그룹과외,2783
전체 (억원),2014,학원수강,27912
전체 (억원),2014,방문수업 및 기타,274
전체 (억원),2015,전체,178346
전체 (억원),2015,대도시,83883
전체 (억원),2015,서울,41424
전체 (억원),2015,광역시,42459
전체 (억원),2015,대도시 이외,94462
전체 (억원),2015,중소도시,78885
전체 (억원),2015,읍면지역,15577
전체 (억원),2015,과목: 일반교과 사교육,138947
전체 (억원),2015,국어,10848
전체 (억원),2015,영어,58348
전체 (억원),2015,수학,55932
전체 (억원),2015,"사회, 과학",6703
전체 (억원),2015,논술,4988
전체 (억원),2015,"제2외국어, 한문, 컴퓨터 등",2128
전체 (억원),2015,"과목: 예체능, 취미·교양 사교육",38730
전체 (억원),2015,음악,13923
전체 (억원),2015,미술,6586
전체 (억원),2015,체육,14886
전체 (억원),2015,취미·교양,3334
전체 (억원),2015,과목: 취업관련 사교육,669
전체 (억원),2015,유형: 일반교과 사교육,138947
전체 (억원),2015,개인과외,24825
전체 (억원),2015,그룹과외,15997
전체 (억원),2015,학원수강,89106
전체 (억원),2015,방문학습지,7485
전체 (억원),2015,유료인터넷 및 통신강좌 등,1534
전체 (억원),2015,"유형: 예체능, 취미·교양 사교육",38730
전체 (억원),2015,개인과외,7206
전체 (억원),2015,그룹과외,3159
전체 (억원),2015,학원수강,27734
전체 (억원),2015,방문수업 및 기타,631
전체 (억원),2016,전체,180606
전체 (억원),2016,대도시,84274
전체 (억원),2016,서울,41263
전체 (억원),2016,광역시,43011
전체 (억원),2016,대도시 이외,96331
전체 (억원),2016,중소도시,81301
전체 (억원),2016,읍면지역,15031
전체 (억원),2016,과목: 일반교과 사교육,135056
전체 (억원),2016,국어,11318
전체 (억원),2016,영어,55443
전체 (억원),2016,수학,53636
전체 (억원),2016,"사회, 과학",7025
전체 (억원),2016,논술,5390
전체 (억원),2016,"제2외국어, 한문, 컴퓨터 등",2244
전체 (억원),2016,"과목: 예체능, 취미·교양 사교육",44733
전체 (억원),2016,음악,16246
전체 (억원),2016,미술,7352
전체 (억원),2016,체육,17163
전체 (억원),2016,취미·교양,3972
전체 (억원),2016,과목: 취업관련 사교육,816
전체 (억원),2016,유형: 일반교과 사교육,135056
전체 (억원),2016,개인과외,21923
전체 (억원),2016,그룹과외,13536
전체 (억원),2016,학원수강,89075
전체 (억원),2016,방문학습지,7480
전체 (억원),2016,유료인터넷 및 통신강좌 등,3042
전체 (억원),2016,"유형: 예체능, 취미·교양 사교육",44733
전체 (억원),2016,개인과외,7282
전체 (억원),2016,그룹과외,2951
전체 (억원),2016,학원수강,32264
전체 (억원),2016,방문수업 및 기타,2236
전체 (억원),2017,전체,186703
전체 (억원),2017,대도시,88957
전체 (억원),2017,서울,44017
전체 (억원),2017,광역시,44940
전체 (억원),2017,대도시 이외,97745
전체 (억원),2017,중소도시,78752
전체 (억원),2017,읍면지역,18993
전체 (억원),2017,과목: 일반교과 사교육,135865
전체 (억원),2017,국어,12577
전체 (억원),2017,영어,54250
전체 (억원),2017,수학,53931
전체 (억원),2017,"사회, 과학",7420
전체 (억원),2017,논술,5274
전체 (억원),2017,"제2외국어, 한문, 컴퓨터 등",2414
전체 (억원),2017,"과목: 예체능, 취미·교양 사교육",49160
